---,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
14,,,,,,,,,f4,f4,f4,f5;o4,o6,f5,f5,,,,,f7,f7;o6,f5,f4,f4,f4,f5,f7;o6,f7,,,,,,,,f4,f4,f4,f4;o3,f3;o2,o2,o2,o2,f9;o2,o3;o2,o3;o2,o3;o2,f9;03;o2,f6;o2,f3;o2;o1,f3,f4,f4,f5;o4;o3,f5;o4;o3,f5,f5,,
15,,,,,,f3,f3,f3,f3,f3,f3,f5;o4,f5;o4,f5;o4,f5;o4,,,,,f7,f7;o6,f5,f4,f4,f4,f5,f7;o6,f7,,,,,,,,f4,f4,f4,f4,f3;o2,f3;o2,f3;o2,f3;o2;o1,f9;o2,o3;o2,o3;o2,f9;o3;o2,f9;o2,f5;o2,f3;o2;o1,f3,f3,f3,f5;o4;o3,o6;o5;o4;o3,f5,f5,,
16,,,,,,f3,f3,o4;o5,f3,f3,f3,f3,f5;o4,f5;o4,,,,,,f7,f7;o6,f5,f4,f4,f4,f6;o5;o4,f6;o5,f6,f6,,,,,,,f4,f4,f4,f3,f3,f3,f3,f3;o2;o1,f4;o2,f9;o2,f9;o3;o2,f5;o2,f5;o2,f3;o2;o1,f3;o2;o1,f3,f3,f3,f5;o4;o3,f5;o4;o3,o5;o6;o7,f5,,
17,,,,,f3,f3,f3,f3,o4,f3,f3,f3,f3,f3,,,,,,f7,f6;o5,f5,f4,f3,f3,f6;o5;o4,o6;o5;o7;o8,o6;o7,f6,f6,,,,,,f4,f4,o4;o5,o3;o4;o5,o3;o4,f3,f3,f3;o2;o1,f3;o2;o1,f4;o2,f4;o2,f5;o2,f3;o2;o1,f3;o2;o1,f3,o3;o4;o5,f3,f3,f3,f5;o4;o3,f5,,,
18,,,,,f3,f3,f3,f3,f3,f3,f3,f3,f3,f3,,,,,,f6,f6;o5,f4,f3,f3,f3,f4,f6;o5,f6,f6,f6,,,,,,f5,f5;o4;o3,f3,f3,f3,f3,f3,f3,f3;o2;o1,f3;o2;o1,f3;o2;o1,f3;o2;o1,f3;o2;o1,f3,f3,f3,o3;o4,f3,,,,,,
19,,,,,,f3,f3,f3,f3,f3,f3,f3,f3,,,,,,,f5,f6;o5,f4;o3,f3,f3,f3,f4,f6;o5,f6,f6,f6,,,,,f5,f5,o5;o6;o4;o3,f5;o4;o3,f5;o4;o3,,f3,f3,f3,f3,f3,f3,f3,f3,f3,f3,f3,f3,f3,,,,,,
20,,,,,,,,f3,,,,f3,f3,,,,,,,f5,f5;o4,f4;o3,f2,f2,f3,f4;o3,f6;o5;o4,f5,,,,,,,f5,f5,f5,o5;o6;o7,f5;o4;o3,,,,,,f3,f3,f3,f3,f3,f3,f3,,,,,,,,
21,,,,,,,,,f3,,,,,,,,,,f5,f5,f5;o4,f3,f2,f2,f2,f4;o3,f5;o4,f4,,,,,,,,,f5,f5,,,,,,,,,,,f3,f3,,,,,,,,,
22,,,,,,,,f1,,f2,,,,,,,,f5,o6;o7,o6;o7,o5;o4;o3;o6,f3,f2,f2,f2,f4;o3,f5;o4,f4,,,,,,,,,,,,,,,,,,,,f3,f3,,,,,,,,,,
23,,,,,,,f1,,f2,,,,,,,,,f5,f5,f5,f5;o4,f5;o4;o3,f2,f2,f2,f3,f5;o4,f4,,,,,,,,,f1,f1,f1,f1,f2,,,,,,,,f3,,,,,,,,,,
24,,,,,,f0,,,,,,,,,,,,,f5,f5;o4,f5;o4;o3,f5;o4;o3,f2,f2,f2,f3,f4;o3,f4,,,,,,,,f1,f1,f1,f1,f1,f2,f2,f2,f2,f2,,,,,f4,,,,,,,,,
25,,,,,f0,f0,f0,,,,,,,,,,,,,f4,f4;o3,f2,f2,f1,f2,f2,f4;o3,f4,o4;o5,f4,,,,,f1,f1,f1,f1,f1,f1,f2,f2,f2,f2,f2,f4;o3,f4;o3,,f4,,,,,,,,,,
26,,,,f0,f0,f1,f0,f0,,,,,,,,,,,,f3,f4;o3,f2,f1,f1,f1,f2,f4;o3,o4;o5;o6,f4,f4,f4,,,,f1,f1,f1,f1,f1,f1,o2;o3,o2;o3;o4,o2;o3;o4,f2,f2,f2,f4;o3,f4,,,,,,,,,,,
27,,,,f0,f1,f1,f1,f0,,,,,,,,,,,,f3,f4;o3,f2,f1,f1,f1,f2,f4;o3,f4,f4,f4,f4,f-3,,,,f1,f1,f1,f1,f1,f1,f1,f2;o1,f2;o1,f2,f2,o4;o3;o5,f4,f4,f4,,,,,,,,,
28,,,,f0,f1,f1,f1,f0,,,,,,,,,,f3,,f3,f3;o2,f2,f1,f1,f1,f1,f3;o2,f4,f4,,f-3,f-2,f-3,,,,f1,f1,f1,f1,f1,f1,f0,f2;o1,f3,f3,o4;o3;o5;o6,f4,f4,f4,f4,,,,,,,,
29,,,,f0,f0,f0,f0,f0,,,,,,,,,f3,f3,f3,o3;o4,f3;o2,f2,f1,f1,f0,f1,f3;o2,f2,,f-3,f-2,f-2,f-2,f-3,,,,,f1,f1,f0,f0,f0,f3;o2;o1,f3,f4,o4;o5;o6,f4,f4,f4,f3,f3,,,,,,,
30,,,,,,,,,,,,,,,,,,f3,f3,f3,o3;o2;o4;o5,f2,f1,f0,f0,f1,f3;o2,f2,,f-3,f-3,f-2,f-3,f-3,,,,f1,f0,f0,f0,f0,f0,f3;o2;o1,f3,f3,f3,f3,f3,f3,f3,f3,,,,,,,
31,,,,,,,,,,,,,,,,,,,f3,f3,f3;o2,f1,f1,f0,f0,f0,f2;o1,f2,,,f-3,f-3,f-3,,,,,f0,f0,f0,f0,f0,f3;o2;o1,f3;o2;o1,f3,f3,f3,f3,f3,f3,f3,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,f3;o2,f2;o1,f1,f0,f0,f0,f0,f2;o1,f2;o1,,,,f-2,,,,,f0,f0,f0,f0,f0,f0,f3;o2;o1,f3,f3,f3,f3,f3,f3,f3,f3,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,f1,f2;o1,f1,f0,f0,f0,f0,f0,f0,f2;o1,,,f-1,,f0,f0,f0,f0,f0,f0,o0;o1;o2,f0,f0,f3;o2;o1,f3,f3,f3,f3,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,f1,f2;o1,f1,f0,f0,f0,f0,f0,f0,f0,f0,,f0,f0,f0,,,f0,f0,o0;o1,f0,f0,f3;o2;o1,f3;o2;o1,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,f1,f2;o1,f0,f0,f0,f0,f0,f0,f2;o1,f0,f0,f0,f0,,,,,,f0,f0,f0,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,f1,f0,f0,f0,f0,f1,f2;o1,,,,f0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,f1,f0,f1,f1,f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
