---,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
17,,,f-2,f-2,f-2,o-2;o-1,f-2,f-2,f-2,f-2,f-2,f-1,f-1,f-1,f-1,f-1,,,,,,,f-1,f0,f-1,f-1,f-1,,f0,f0,,,,,,,,f-3,f-2,f-1,o-1;o0;o1,f-1,f-1;o-2,f-1;o-2,f-3,f-3,f-3,,,f-2,f-2,f-2,f-2,,
18,,,f-2,f-2,o-2;o-1;o0,f-2,f-2,f-1,f-1,f-1,f-1,f-1,f-1,f-1,f-1,,,,,,,,f-1,f-1,f-1,,,f-1,f0,,,,,,,f-3,f-3,f-3,f-2,f-2;o-3,f-1;o-2,o-1;o-2;o0,o-1;o-2;o0,f-3,f-3,f-3,f-2,f-1;o-2,f-1;o-2,f-1,f-1,f-2,f-3,,
19,,,f-2,f-2,f-2,f-1,f-1,f-1,f-1,f0,f0,f-1,f-1,f-1,f-1,f-1,,,,,,,,,,,,,f-1,,,,,,,f-3,f-3,f-2,f-2,f-1;o-2,,,,f-3,f-3,f-3,f-2,f-2,f-1,f-1,f-1,f-2,f-3,,
20,,,f-2,f-2,f-2,f-1,f-1,f0,f0,f0,f0,f0,f0,f-1,f-1,o-1;o0,,,,,,,,,,,,,f-1,,,,,,,,f-3,f-2,f-2,f-3,,,f-3,f-4,f-4,f-3,f-3,f-2,f-1,f-1,f-2,f-3,f-3,,
21,,,,f-2,f-2,f-2,f-1,f0,f0;o-1;f-2;f-3,f0;o-1;o-2;o-3,f0;o-1;o-2;o-3,f0;o-1;o-2;o-3,f-1;o-2,o-1;o0;o1,o-1;o0,f-1,f-1,,,,,,,,,,,,,f-1,,,,,,,f-3,f-3,f-3,f-3,f-3,f-3,f-3,f-4,f-4,f-4,f-3,f-3,f-2,f-2,f-3,f-3,f-3,,
22,,,,f-2,f-2,,o1;o0;o-1,f0,f0;o-1;o-2,f0;o-1;o-2,f-4,f-4,f-1,f-1,,,,f-3,,,,,,,,,,,,f-2,,,f-3,f-3,f-3,,f-3,f-3,f-3,f-3,f-3,f-4,f-4,f-4,f-4,o-3;o-2,o-3;o-2;o-1,o-3;o-2;o-1,f-3,f-3,f-3,f-3,,,
23,,,,f-2,f-2,,o2;o1;o0;o-1,f0,f0;o-1;o-2,f-4,f-4,f-3,f-3,,,f-3,f-2,,,,,,,,,,,,,f-2,,f-2,,,f-3,f-3,f-3,f-3,f-3,f-4,f-4,f-4,f-4,f-4,f-4,f-3,f-3,,f-3,f-3,,,,,
24,,,,f-3,f-3,f-2,f1;o0;o-1,f1;o0;o-1,f1;f0;f-1,f-3,f-3,f-3,f-3,f-3,f-3,f-3,,f-2,,,,,,,,,,,f-2,f-2,f-2,,,,,,,,,f-4,f-4,f-4,f-4,f-4,f-4,,,,,,,,,,
25,,,,f-3,f-3,f-3,f-4;f1,f-4;f1,f-3,f-3,o-3;o-2,f-3,f-3,,,,,f-2,,,,,,f-2,,,,,f-2,f-2,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,f-3,f-3,f-4;f1,f-3;f1,f-3,f-3,o-3;o-2;o-1,f-3,,,,,,,f-1,,,,,,f-2,,,f-2,f-2,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,f-3,f-3,f-3,f-3;f2,f-3,f-3,o-3;o-2;o-1,f-4,,,,,,,f-1,,,,,,f-2,f-2,f-2,f-2,f-2,,,,,,,,,,,,,,,,,f2,,,,,,,,,
28,,,,f-4,f-3,f-3,f-3,f-3;f2,f-3,f-3,f-4,f-4,,,,,,,f-1,,,f-2,f-2,f-2,f-2,f-1,f-1,f-1,f-2,,,,,,,,,,,,,,,f2,f2,f2,f2,,,,,,,,
29,,,,f-4,f-3,f-3,f-3,f-3,f-4;f2,f-4,f-4,,,,,,,,,f-2,f-2,f-2,f-2,f-2,f-1,f-1,f-1,f-1,f-1,f-2,,f-2,f-2,,,,,,,,,,f2,f3,f3,f3,f2,,,,,,,,
30,,,,,f-4,f-3,f-4,f-4,f-4;f2,,,,,,,,,,,,,,,f-2,f-1,f-1,f-1,f-1,f-1,f-2,f-2,,,f-2,,,,,,,,,f2,f3,f3,f3,f2,,,,,,,,
31,,,,,f-4,f-4,f-4,f-4;f2,,,,,,,,,,,,,,,,f-2,f-1,f-1,f-1,f-1,f-1,f-2,,,,,f-1,,,,,,,,,f3,f3,f3,f3,f2,,,,,,,
32,,,,,,,,f3,,,,,,,,,,,,,,,f-2,,f-2,f-1,f-1,f-1,f-2,,,,,,f-1,,,,,,,,f2,,f2,f3,f3,f2,,,,,,,
33,,,,,,f3,f3,f3,f3,,,,,,,,,,,,,,,,,f-2,f-2,f-2,,,,,,,f-1,,,,,,,f1,,,,f3,f2,f2,,,,,,,
34,,,,,,f3,f3,f3,f3,,,,,,,,,,,,,,,,,,f-2,f-2,,,,,,,,f-1,f-1,,,,f0,f1,,,,f2,f2,f2,,,,,,,
35,,,,,,,f3,f3,f3,,,,,,,,,,,,,,,,,,f-2,,,,,,,,,,,f0,f0,f0,f0,f1,f1,,f-4,,f2,,,,,,,,
36,,,,,,,f3,f3,,,,,,,,,,,,,,,,,,f-1,f-1,,,,,,f1,f1,f0,f0,f0,f0,f0,f0,f1,f1,,f-4,f-4,f-4,f-4,,,,,,,,
37,,,,,,,,,,,,,,f-2,f-2,f-1,,,,,,,,,,f-1,f-1,,,,,f1,f1,f1,f1,f1,f0,f0,,,,,,f-4,f-4,f-3,f-4,,,,,,,,
38,,,,,,,,,,,,,f-2,f-1,f-1,f-1,f-1,,,,,,,,,f-1,,,,,,,f1,f1,f1,f1,,f-1,,,,,,f-4,f-3,f-3,f-4,f-4,,,,,,,
39,,,,,,,,,,,,,f-2,f-1,f-1,f-1,f-1,f-1,,,,,,,,,f-1,,,,,,,,,,f-2,f-2,,,,,f-4,f-4,f-2;o-3,f-2;o-3,f-4,f-4,,,,,,,
40,,,,,,,,,,,,,,f-1,f-1,f-1,f-2,f-2,,,,,,,,,f-1,,,,,,,,,,f-3,,,,,,f-4,f-2;o-3,f-2;o-3,f-3,f-4,f-4,,,,,,,
41,,,,,,,,,,,,,,f-1,f-2,f-2,f-2,,,,,,,,,,f0,,,,,,,,,,f-3,,,f-4,f-4,f-2;o-3,f-2;o-3,f-2;,f-1;o-2,f-3,f-4,f-4,,,,,,,
42,,,,,,,,,,,,,,f-1,,,,,,,,,,,f0,f0,,,,,,,,,,,f-4,,f-4,f-4,f-4,f-3,f-2,f-1;o-2,f-3,f-3,f-4,f-4,,,,,,,
43,,,,,,,,,,,,,,,f0,,,,,,,,,f0,,f0,,,,,,,,,,f-4,f-4,f-4,f-4,f-4,f-4,f-3,f-3,f-3,f-4,f-4,f-4,,,,,,,,
44,,,,,,,,,,,,,f2,f1,f1,f1,,,,,,,,,,,f1,,f2,,,,,,,f-2;o-3,o-2;o-1;o-3,f-4,f-4,f-4,f-4,f-4,f-3,f-4,f-4,f-4,f-4,,,,,,,,
45,,,,,,,,,,,,f2,f2,f1,f1,f1,f1,f1,f1,f2,,,,,,f2,f1,f1,f1,f2,,,,,f-1,f-2,f-2;o-3,o-2;o-1;o0;o-3,f-2;o-3,f-4,f-4,f-4,f-4,f-4,f-4,,,,,,,,,,
46,,,,,,,,,,,,f2,f2,f1,f1,f1,f1,f1,f1,f2,f2,f1,f1,f1,f2,f2,f1,f1,f1,f2,,,,,f-1,f-1,f-2,f-2;o-3,f-2;o-3,f-4,f-4,f-4,f-4,,,,,,,,,,,,
47,,,,,,,,,,,,f2,f2,f2,f1,f3;o2,f1,f1,o1;o2,f1,f1,f1,f1,f1,f1,o1;o2;o3,f1,f1,f1,f1,f2,,,,f-2,f-1,f-1;o-2,f-2;o-3,f-4,f-4,f-4,f-4,o-3;o-2,f-3,f-3,,,,,,,,,,
48,,,,,,,,,,,,f2,f2,f2,f3;o2,f3;o2,f1,o1;o2;o3,f1,f1,f1,f3;o2,f1,f1,f1,o1;o2;o3,f1,f1,f1,f1,f2,,,,f-2,f-2,f-2,f-3,f-4,f-4,o-3;o-2;o-1,o-3;o-2;o-1,f-3,f-3,,,,,,,,,,,
49,,,,,,,,,,,,,f2,f3;o2,f3;o2,f3;o2,f1,f1,f1,f1,o3;o2;o4,f3;o2,f1,f1,f1,o1;o2,o1;o2,f1,f1,f1,f2,,,,f-2,f-3,f-3,f-3,f-4,f-3,f-3,f-3,f-3,f-3,,,,,,,,,,,
50,,,,,,,,,,,,,f2,f3,f3,f3;o2,f3;o2,f1,f1,o2;o3,f3;o2,f3;o2,f3;o2,o3;o2;o4;o5,f1,f1,f1,f1,f1,f2,f2,f2,,,,,,f-3,f-3,f-3,f-3,f-3,f-3,,,,,,,,,,,,
51,,,,,,,,,,,,,f3,f3,f3,f2,f2,f2,f2,f2,f3,f3,f3,f3;o2,o3;o2;o4,f2,f1,f1,f1,f2,f2,f2,,,,,,,,,,f-3,,,,,,,,,,,,,
52,,,,,,,,,,,,,,f2,f2,f2,f2,f2,f2,f2,f2,f3,f3,f3,f3,f3,f2,f1,f2,f2,f2,f2,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,f2,f2,f2,f2,f2,f2,f3,f3,f3,f3,f2,f2,f2,f2,f2,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,f2,f2,f2,f2,f3,f3,f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,f2,f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
